domain,status,label,detail,timestamp
bedoueroom.top,malicious,钓鱼网站,域名注册信息高度隐私化、DNS解析异常、历史记录中存在NXDOMAIN错误，且缺乏邮件安全配置，存在伪装合法站点进行钓鱼攻击的高风险。,2025-08-12 17:47:14
1.izumisv1.cc,malicious,"钓鱼网站, 垃圾邮件",域名注册信息高度隐藏、DNS记录异常波动、缺乏邮件安全配置及SSL证书缺失，且当前无法访问，存在高风险特征，可能与钓鱼或垃圾邮件活动相关。,2025-08-12 17:48:11
bot.nightbotnet.my.id,malicious,"C2服务器, 网络侦察",域名存在Whois信息缺失、DNS解析异常、历史记录异常、邮件安全缺失及SSL证书缺失等高风险特征，且网站内容显示为实时监控端口流量的统计页面，可能被用于网络侦察或C2通信。,2025-08-12 17:49:37
diamondvsgolden.com,malicious,钓鱼网站,域名注册信息不透明、邮件安全策略缺失、域名锁定状态及解析信息异常，存在潜在钓鱼或恶意活动风险。,2025-08-12 17:51:05
traxanhc2.duckdns.org,malicious,"钓鱼网站,C2服务器",域名存在Whois信息缺失、DNS解析异常、缺乏邮件安全配置及SSL证书等高风险特征，结合动态DNS服务的隐蔽性，高度疑似用于钓鱼攻击或作为C2服务器。,2025-08-12 17:52:06
0x0.st,malicious,"C2服务器, 垃圾邮件, 远程访问木马",DGA检测结果为dga，SSL证书域名不匹配，邮件安全策略缺失，且文件托管服务存在恶意文件上传和DDoS攻击风险，综合指向恶意行为。,2025-08-12 17:53:30
vplayer.cl,malicious,"垃圾邮件, 钓鱼网站",域名存在邮件安全配置缺失（未配置DMARC和DKIM）、SSL证书覆盖不全，且网站访问时出现连接异常，可能被用于垃圾邮件或钓鱼攻击。,2025-08-12 17:54:54
abc.galaxias.cc,malicious,"垃圾邮件,钓鱼网站,僵尸网络",域名存在注册信息隐藏、DNS解析异常、历史IP频繁变更、缺乏邮件/SSL安全配置等高风险特征，且网站无法访问可能用于隐蔽恶意活动。,2025-08-12 17:56:01
server-data-client-lntl.cloud,malicious,"垃圾邮件, 钓鱼网站, C2服务器",域名存在隐私信息隐藏、邮件安全配置缺失、IP地理位置异常、历史记录可疑及新注册限制转移等多风险特征，结合网站无法访问且可能暴露内部服务，高度疑似用于恶意活动。,2025-08-12 17:57:25
michellegraci.com,benign,-,域名未发现明确恶意行为，但邮件安全配置缺失（无MX记录、SPF/DMARC/DKIM未配置），可能被用于垃圾邮件或钓鱼攻击，需进一步验证实际用途。,2025-08-12 17:58:36
xemhang.vn,malicious,"钓鱼网站, 垃圾邮件",域名缺乏WHOIS信息、未配置DMARC和DKIM、SSL证书已过期，且网站内容存在乱码及投资建议无资质说明，存在潜在钓鱼及垃圾邮件风险。,2025-08-12 17:59:54
iotkit.duckdns.org,malicious,"钓鱼网站, 垃圾邮件, C2服务器",域名存在Whois信息缺失、DNS解析异常、邮件安全配置缺失、无SSL证书等高风险特征，且无法访问实际网站内容，可能被用于钓鱼、垃圾邮件或作为恶意C2服务器。,2025-08-12 18:01:04
aspotan.com,benign,-,域名使用Cloudflare托管且SSL证书有效，DGA检测结果为合法，无明确恶意行为证据，邮件安全配置缺失可能为疏忽而非恶意特征。,2025-08-12 18:02:08
vivianvalora.com,benign,-,域名当前由Cloudflare管理且SSL证书有效，未发现明确恶意行为证据，网站无法访问可能由服务器配置或网络限制导致，而非直接恶意行为。,2025-08-12 18:03:42
scygas.com,malicious,"C2服务器, 恶意软件分发",DGA检测结果为dga，且被防火墙标记为恶意软件，结合注册信息缺失、异常DNS历史和邮件安全配置缺失，确认该域名存在恶意行为。,2025-08-12 18:04:38
vipcncnetwork.com,malicious,"钓鱼网站, C2服务器",域名注册信息不完整、DNS解析异常、IP地址频繁变更、缺乏邮件安全配置，且无法访问网站内容，存在高风险行为特征。,2025-08-12 18:05:42
saipem-project.cloud,malicious,"钓鱼网站, C2服务器",域名注册信息隐私保护异常、DNS解析IP地理位置矛盾、邮件安全配置缺失、SSL证书缺失及网站无法访问，综合指向潜在钓鱼或恶意控制行为。,2025-08-12 18:06:53
saipem-files.cloud,malicious,"钓鱼网站,C2服务器",域名存在Whois信息缺失、DNS解析异常、邮件安全缺失及SSL证书缺失等多风险特征，且无法访问可能用于规避扫描或伪装合法服务诱导用户访问。,2025-08-12 18:07:38
as5yo.top,malicious,"钓鱼网站, 垃圾邮件",域名存在解析异常、注册信息不透明、邮件安全配置缺失等多项可疑特征，且当前无法正常解析，高度疑似用于钓鱼或恶意分发活动。,2025-08-12 18:08:37
arjen.top,malicious,"钓鱼网站, 垃圾邮件, C2服务器",域名状态异常（serverHold/pendingDelete）、隐私信息隐藏、DNS解析缺失、邮件安全配置缺失及SSL证书局限性，均指向高风险行为，结合无法访问的网站状态，高度怀疑其用于钓鱼、垃圾邮件或作为C2服务器。,2025-08-12 18:09:27
sizzlingcareer.com,malicious,"钓鱼网站, 广告分发",域名存在注册信息隐藏、DNS配置频繁变更、邮件安全配置缺失等异常行为，可能被用于钓鱼或广告分发等恶意活动。,2025-08-12 18:10:18
codeveinsurance.info,malicious,"钓鱼网站, 恶意软件分发",域名被防火墙标记为恶意软件，且缺乏邮件安全配置，存在诱导用户访问后窃取信息及传播恶意程序的高风险。,2025-08-12 18:11:07
last.galaxias.cc,malicious,"钓鱼网站, 垃圾邮件, C2服务器",域名存在注册信息隐藏、新注册、DNS/IP异常、邮件安全缺失及SSL证书缺失等多风险点，且无法访问的网站可能隐藏非法服务，综合判断存在恶意行为可能性。,2025-08-12 18:12:51
discoveronline.top,malicious,"钓鱼网站, 垃圾邮件",域名存在Whois信息不可获取、DNS解析异常、历史记录缺失、邮件安全配置缺失及SSL证书查询失败等多重风险特征，且网站无法访问，高度疑似用于钓鱼攻击或垃圾邮件分发。,2025-08-12 18:15:26
cdn.valgap.org,malicious,"钓鱼网站, 隐蔽通信",域名存在Whois信息不可用、DNS解析异常、邮件安全机制缺失、SSL证书无法查询及历史DNS记录不可用等多重异常配置，高度疑似用于钓鱼攻击或隐蔽通信活动。,2025-08-12 18:17:46
security-malware.com,malicious,"钓鱼网站, 垃圾邮件",域名存在Whois信息缺失、DNS解析异常、邮件安全策略缺失、SSL证书异常等高风险特征，且域名名称包含矛盾关键词（security+malware），高度疑似伪装成安全网站的钓鱼或垃圾邮件源。,2025-08-12 18:20:00
net.botwork.cc,malicious,"钓鱼网站, 垃圾邮件, 僵尸网络",域名存在Whois信息隐藏、DNS解析异常（NXDOMAIN）、缺乏邮件安全配置及SSL证书不可查询等高风险特征，符合恶意域名的典型行为模式。,2025-08-12 18:22:00
iiiconstruction.net,malicious,"钓鱼网站, 垃圾邮件",域名存在DNS解析异常、邮件安全机制缺失、SSL证书查询失败及历史DNS记录不可查等多处配置异常，高度疑似用于钓鱼攻击或垃圾邮件发送。,2025-08-12 18:24:21
fidesrely.com.mx,malicious,"钓鱼网站, 垃圾邮件",域名存在Whois信息缺失、DNS解析异常、邮件安全配置缺失及SSL证书异常等高风险特征，可能被用于钓鱼攻击或垃圾邮件发送。,2025-08-12 18:26:07
h4.subfloorpurgatory.life,malicious,"C2服务器, 垃圾邮件, 钓鱼网站",域名存在Whois信息缺失、DNS解析异常、SSL证书不匹配等高风险特征，且DGA检测为恶意生成，综合判断为恶意域名,2025-08-12 18:27:05
api.chanlevip.site,malicious,"钓鱼网站,垃圾邮件",域名存在注册信息矛盾、DNS解析异常、SSL证书缺失等多项技术异常，且处于法律争议状态，高度疑似用于钓鱼或垃圾邮件活动。,2025-08-12 18:28:09
xtibh.com,malicious,"钓鱼网站, 恶意软件分发",域名存在注册信息缺失、DNS解析异常、依赖CDN隐藏真实服务器、缺乏邮件安全配置、短期注册等可疑特征，且被Cloudflare标记为疑似钓鱼网站和恶意软件分发源。,2025-08-12 18:29:21
documentnx.storagedrvi.com,malicious,"钓鱼网站, 垃圾邮件, C2服务器",域名注册信息异常（短时间注册、隐私邮箱）、DNS解析异常（Cloudflare隐藏真实IP）、缺乏安全配置（无SSL证书及邮件安全记录）及无法访问的网站内容，高度疑似用于钓鱼、垃圾邮件及恶意通信。,2025-08-12 18:30:22
greensboro-even-suburban-str.trycloudflare.com,malicious,"钓鱼网站,C2服务器",域名存在Whois信息隐藏、DNS解析失败、无历史记录、邮件安全配置缺失及无SSL证书等多重异常特征，且子域名结构疑似随机生成用于混淆，高度符合恶意域名行为模式。,2025-08-12 18:31:19
misshon.com,malicious,钓鱼网站,域名注册信息缺失、DNS历史记录异常（曾指向可疑NS服务器）、邮件安全措施缺失，且SSL证书未覆盖主域名，存在高风险配置特征。,2025-08-12 18:32:24
saipem-projects.bid,malicious,"钓鱼网站, 垃圾邮件",域名存在Whois信息缺失、IP地理位置矛盾、邮件安全配置缺失（无DMARC/DKIM）、SSL证书缺失等高风险特征，且无法访问可能隐藏恶意行为，符合钓鱼及垃圾邮件的典型特征。,2025-08-12 18:33:44
aramco-files.cloud,malicious,"钓鱼网站, 垃圾邮件",域名存在隐私隐藏、DNS解析异常、邮件安全策略缺失及SSL证书缺失等多重风险特征，且历史记录显示曾解析到可疑IP，高度疑似用于钓鱼攻击或垃圾邮件分发。,2025-08-12 18:34:50
lctechengineering.com,malicious,"垃圾邮件, 钓鱼网站, C2服务器",域名存在Whois信息缺失、IP归属矛盾、邮件安全配置缺失、新注册锁定状态及MX记录指向可疑服务器等多重风险，且网站无法访问，高度疑似用于恶意活动。,2025-08-12 18:36:19
shopmeyxc.pro,malicious,"钓鱼网站, 垃圾邮件",域名存在Whois信息缺失、DNS解析异常、缺乏邮件安全配置及SSL证书异常等高风险特征，且.pro顶级域名与随机字符组合常被恶意网站滥用。,2025-08-12 18:37:20
zerolendnow.top,malicious,"钓鱼网站, 垃圾邮件",域名状态异常、DNS解析失败、邮件安全配置缺失，存在高风险行为特征。,2025-08-12 18:38:23
apexservices.duckdns.org,malicious,"垃圾邮件, 钓鱼网站, C2服务器",域名存在Whois信息缺失、DNS解析异常、邮件安全机制缺失、SSL证书缺失及访问被本地软件拦截等高风险特征，高度疑似用于垃圾邮件、钓鱼或作为恶意C2服务器。,2025-08-12 18:39:26
warpdrive.top,malicious,"钓鱼网站, 垃圾邮件",域名存在注册状态异常、DNS解析不完整、邮件安全配置缺失、SSL证书短期有效及隐私信息隐藏等多项高风险特征，且当前无法解析可能为规避检测的前期准备。,2025-08-12 18:40:41
postaf.vip,malicious,"钓鱼网站, 垃圾邮件",域名注册信息高度隐私化且注册商存在可疑关联，DNS解析异常并指向高风险IP，同时缺乏邮件安全配置，存在被用于钓鱼或垃圾邮件的潜在风险。,2025-08-12 18:41:49
silk-gen.com,benign,-,域名解析配置基本完整，SSL证书有效，DGA检测结果为合法，无明确恶意行为迹象。,2025-08-12 18:43:08
net.bolo.gay,malicious,"钓鱼网站, 垃圾邮件",域名存在Whois信息缺失、DNS解析异常、邮件安全缺失及SSL证书缺失等多重风险，高度疑似用于钓鱼攻击或垃圾邮件活动。,2025-08-12 18:44:06
servecore.today,benign,"钓鱼网站, 垃圾邮件",域名存在Whois信息缺失、邮件安全配置缺失及存储桶潜在数据泄露风险，但无直接证据表明其当前从事恶意活动。,2025-08-12 18:59:35
1337smvids.xyz,malicious,"钓鱼网站, 垃圾邮件, C2服务器",域名状态异常（pendingDelete/锁定）、隐私信息隐藏、DNS解析异常（NXDOMAIN/超时）、缺乏邮件安全配置（无MX/SPF/DKIM）及高风险命名特征（1337leet变体）共同指向恶意用途。,2025-08-12 19:01:02
tokneeg.com,malicious,钓鱼网站,域名注册信息异常（伪造Microsoft关联）、DNS记录显示IP地址频繁变更且涉及多国服务器、缺乏邮件安全配置及SSL证书，存在高风险特征。,2025-08-12 19:02:16
skinsonskinsmarket.info,malicious,"钓鱼网站, 垃圾邮件",域名Whois信息缺失、DNS解析异常、历史NS服务器指向可疑域名、邮件安全配置不完整（无DMARC和DKIM），综合判断存在高风险恶意行为可能性。,2025-08-12 19:03:14
service-orange-pro.com,malicious,C2服务器,域名通过DGA检测且存在DNS解析异常、隐私信息遮蔽、邮件安全记录缺失等高风险特征，短期注册及异常NS记录进一步增加恶意可能性，符合C2服务器典型行为模式。,2025-08-12 19:04:17
denisa.shop,benign,-,当前域名未发现明确恶意行为，网站无法访问可能由DNS配置问题或未上线导致，但无直接证据表明其为恶意域名。,2025-08-12 19:05:44
eddereklam.com,benign,-,域名属于合法商业用途，网站内容无明显恶意，但存在邮件安全配置缺失和潜在的子域名滥用风险，需持续监控。,2025-08-12 19:07:02
macostutorial.com,malicious,"钓鱼网站, 垃圾邮件",域名注册信息存在不一致（国家与地址不符），历史DNS记录异常，邮件安全配置缺失，且网站返回403错误，可能被用于隐藏非法活动或恶意行为。,2025-08-12 19:07:58
sanhack.com,malicious,"钓鱼网站, 恶意软件",域名被用于非法销售游戏外挂，存在隐私泄露、恶意软件分发及钓鱼攻击风险,2025-08-12 19:09:43
desckvbrat.com.br,malicious,"钓鱼网站, 垃圾邮件",域名注册信息完全隐藏、DNS解析异常、邮件安全配置缺失（无MX记录及邮件验证机制），且存在历史DNS服务商频繁变更等高风险特征，符合恶意域名典型行为模式。,2025-08-12 19:10:49
bestproductreviews.xyz,malicious,"钓鱼网站, C2服务器",DGA检测阳性、邮件安全记录缺失、DNS频繁变更及当前无法访问的异常状态，高度疑似用于钓鱼攻击或作为恶意通信的C2服务器。,2025-08-12 19:11:42
eveloungeyyc.com,malicious,"钓鱼网站, 垃圾邮件, 非法赌博推广",域名注册信息异常、DNS频繁变更、邮件安全缺失、SSL证书局限性及网站混杂非法赌博推广内容，存在诱导性营销、钓鱼攻击及隐私泄露风险。,2025-08-12 19:13:11
bleh.top,malicious,"钓鱼网站, 垃圾邮件",域名存在注册信息隐私化、DNS解析异常、邮件安全缺失及SSL证书未配置等多风险特征，且当前无法访问，高度疑似用于钓鱼或恶意邮件活动。,2025-08-12 19:14:14
bot.chanbaba.online,malicious,"DDoS攻击平台,C2服务器,网络攻击服务商业化",网站内容明确显示该域名是用于发动DDoS攻击的命令与控制平台，支持多种攻击模式并提供付费订阅服务，结合解析信息中的异常注册特征和缺失安全配置，确认其恶意属性。,2025-08-12 19:15:19
akacostanyaszarvas.hu,benign,-,域名虽存在Whois信息缺失、邮件安全配置不全及DNS异常等潜在风险，但网站内容为合法商业用途，无直接恶意特征且SSL证书正常，综合判断为良性域名。,2025-08-12 19:16:25
laccalhdc.com,malicious,C2服务器,域名存在DGA检测结果、WHOIS信息缺失、DNS解析异常、历史DNS记录不稳定、邮件安全机制缺失等高风险特征，符合恶意域名特征。,2025-08-12 19:17:19
theblumiles.com,benign,-,域名未发现明确恶意特征，DGA检测为合法，SSL配置正常，潜在风险主要为邮件安全策略缺失而非恶意行为,2025-08-12 19:18:35
goatramz.com,malicious,"钓鱼网站, 垃圾邮件",域名注册信息不透明，DNS历史复杂且多次更换托管商，未配置邮件安全机制（SPF/DKIM/DMARC）及完整SSL证书，存在被用于网络钓鱼和垃圾邮件的高风险。,2025-08-12 19:19:36
xabanak.ru,malicious,"钓鱼网站, 垃圾邮件",域名存在Whois信息未验证、IP频繁变更、缺乏邮件安全配置等异常特征，且服务器暴露默认IIS页面可能被用于隐藏真实用途或实施网络攻击。,2025-08-12 19:20:50
nimbusvaults.com,malicious,"钓鱼网站, 垃圾邮件",域名存在注册信息缺失、DNS异常变更、邮件安全配置缺失等高风险特征，且网站未配置实际业务内容，可能被用于钓鱼攻击或垃圾邮件发送。,2025-08-12 19:21:56
ashesplayer.top,malicious,"钓鱼网站, 垃圾邮件, C2服务器",域名存在注册信息不透明、DNS频繁变更、邮件安全缺失、解析异常等高风险特征，且历史子域名曾关联香港IP，存在隐藏恶意活动的可能。,2025-08-12 19:23:11
unext.am.in,malicious,"垃圾邮件, 钓鱼网站",域名状态异常、注册信息缺失、DNS配置频繁变更且存在NXDOMAIN记录，结合邮件安全策略缺失及网站无法访问，存在被用于垃圾邮件和钓鱼攻击的高风险。,2025-08-12 19:24:20
oh-my-oh.my,benign,-,域名存在隐私信息隐藏、邮件配置缺失、地理位置异常等可疑特征，但无直接证据表明其参与恶意活动，需持续监控其网络行为以确认风险。,2025-08-12 19:25:36
correospanama.cc,malicious,"钓鱼网站, 垃圾邮件",域名注册信息隐藏、注册商可疑、IP地址地理位置异常、邮件安全配置缺失，且域名无法访问，存在高度伪装性，疑似用于网络钓鱼或垃圾邮件活动。,2025-08-12 19:26:46
autotoll.shop,malicious,"钓鱼网站, 垃圾邮件",域名注册信息隐私保护、DNS解析指向不知名ISP、缺乏邮件安全配置、SSL证书过期及历史DNS记录地理位置矛盾，存在高风险行为特征。,2025-08-12 19:27:58
stanprinston.com,malicious,"钓鱼网站, 僵尸网络",域名存在DGA检测结果、注册信息缺失、DNS解析异常、频繁更换DNS服务商、未配置邮件安全机制等高风险特征，且网站返回403错误，存在被用于钓鱼攻击或僵尸网络通信的潜在风险。,2025-08-12 19:29:32
images.silk-gen.com,malicious,"钓鱼网站, 垃圾邮件",域名注册信息被隐藏，IP地址与注册地不一致，缺乏邮件安全配置，且网站无法访问，存在高风险行为特征。,2025-08-12 19:30:35
hr.silk-gen.com,malicious,"垃圾邮件, 钓鱼网站",域名注册信息高度隐私化，邮件安全记录缺失，子域名无法访问且历史记录异常，存在高风险行为特征。,2025-08-12 19:31:37
auth.silk-gen.com,malicious,"钓鱼网站, 垃圾邮件",域名存在隐私信息隐藏、DNS解析异常、邮件安全缺失、关联可疑IP及生命周期异常等多风险特征，且网站无法访问，高度疑似用于钓鱼或垃圾邮件活动。,2025-08-12 19:32:46
staging.silk-gen.com,benign,-,域名注册信息被隐私保护，但无明确恶意行为证据；邮件安全配置缺失可能为测试环境；SSL证书覆盖子域名属正常情况；DGA检测结果为legit，综合判断暂无恶意特征。,2025-08-12 19:33:58
sandbox.silk-gen.com,benign,-,域名注册信息隐私化、邮件安全缺失及SSL证书范围局限等特征可能指向潜在风险，但DGA检测结果为legit且无明确恶意行为证据，当前信息不足以判定为恶意域名。,2025-08-12 19:35:05
portal.silk-gen.com,malicious,钓鱼网站,域名注册信息完全隐藏，未配置邮件安全记录，且新注册域名可能被用于短期恶意活动，存在高风险。,2025-08-12 19:36:02
docs.silk-gen.com,malicious,"钓鱼网站, C2服务器",域名注册信息高度隐私化、无邮件安全机制、IP地理位置不一致、域名状态锁定且无法访问网站，综合指向恶意用途可能性较高。,2025-08-12 19:37:11
eu.silk-gen.com,malicious,"钓鱼网站, C2服务器",域名注册信息隐私保护、邮件安全机制缺失、域名使用时间较短、IP地址异常等潜在风险，且网站无法访问，存在被用于钓鱼或恶意通信的可能。,2025-08-12 19:38:21
files.silk-gen.com,malicious,"钓鱼网站, C2服务器",域名存在隐私信息隐藏、DNS解析异常、邮件安全缺失、SSL证书覆盖不全及历史IP关联未知风险，且当前无法访问，符合钓鱼网站和C2服务器的典型特征。,2025-08-12 19:39:34
vpn.silk-gen.com,malicious,"钓鱼网站,C2服务器",域名存在隐私信息隐藏、邮件安全措施缺失、IP异常活动及与敏感词汇关联等多维度风险，且网站无法访问，高度疑似伪装成VPN服务实施网络钓鱼或作为恶意通信节点。,2025-08-12 19:40:46
sales.silk-gen.com,malicious,"钓鱼网站, 垃圾邮件",域名存在Whois信息缺失、邮件安全配置缺失、SSL证书局限性及异常IP地址等高风险特征，且网站无法访问可能隐藏恶意用途。,2025-08-12 19:42:05
alpha.silk-gen.com,malicious,钓鱼网站,域名注册信息隐私保护、缺乏邮件安全机制（SPF/DMARC/DKIM）、IP地理位置异常及网站无法访问，均指向潜在钓鱼或恶意用途。,2025-08-12 19:43:13
cryptotabber.com,malicious,"钓鱼网站, 垃圾邮件, 远程访问木马",域名cryptotabber.com被防火墙标记为恶意软件，且存在WHOIS信息缺失、DNS解析异常、邮件安全配置不完善等高风险特征，结合其被校园安全策略拦截的记录，可推断其存在钓鱼、垃圾邮件及远程访问木马等恶意行为。,2025-08-12 19:44:16
hollywoodcafeonmain.com,malicious,"恶意软件, C2服务器",域名被Palo Alto防火墙标记为恶意软件类别，且存在DNS记录频繁变更、邮件安全配置缺失等异常行为，符合恶意域名特征。,2025-08-12 19:45:17
dansorium.gr,malicious,"钓鱼网站, 垃圾邮件, 远程访问木马",域名Whois信息缺失、DNS记录频繁变更、邮件安全配置缺失，且被防火墙标记为恶意软件，存在高风险的钓鱼和恶意活动嫌疑。,2025-08-12 19:45:59
meetingplatform-webex.com,malicious,"钓鱼网站, 垃圾邮件",域名存在注册信息缺失、DNS解析异常、邮件安全配置缺失及短期新注册等高风险特征，且域名结构仿冒知名会议平台，高度疑似用于网络钓鱼及垃圾邮件活动。,2025-08-12 19:47:04
exortsoft.pro,malicious,"C2服务器, 钓鱼网站",域名存在Whois信息缺失、DNS解析异常、邮件安全机制缺失及DGA检测阳性等高风险特征，高度疑似用于恶意通信和网络钓鱼活动。,2025-08-12 19:47:59
windowsupdateorg.live,malicious,钓鱼网站,域名名称高度仿冒微软官方更新服务，结合Whois信息缺失、邮件安全配置缺失及DNS解析异常，存在诱导用户访问后窃取信息或传播恶意软件的高风险。,2025-08-12 19:48:39
www.mylybnews.com,malicious,"钓鱼网站, 垃圾邮件, 远程访问木马, 僵尸网络",域名被Palo Alto防火墙标记为恶意软件，且存在Whois信息隐藏、DNS解析异常、邮件安全配置缺陷等高风险特征，综合判断为恶意域名。,2025-08-12 19:49:56
statement.third-domain.su,malicious,"钓鱼网站, C2服务器",域名存在注册信息缺失、邮箱指向自身、DNS配置异常、无邮件安全验证等高风险特征，且.su国家代码域可能被用于隐藏真实来源，结合历史IP指向异常及新注册特性，高度疑似用于钓鱼或隐蔽通信,2025-08-12 19:50:47
screen.third-domain.su,malicious,"钓鱼网站, 垃圾邮件",域名注册信息不透明（无组织信息、仅提供单一联系邮箱）、新注册且生命周期短、无邮件安全配置（MX/SPF/DMARC/DKIM缺失）、网站无法访问（可能隐藏真实内容或用于恶意活动）。,2025-08-12 19:51:45
vrfuptok.com,malicious,"C2服务器, 恶意软件分发",域名被Palo Alto防火墙标记为恶意软件，且存在DGA检测结果、注册信息矛盾、DNS解析异常、邮件安全配置缺失等多条高风险特征。,2025-08-12 19:52:35
getsybkng.com,malicious,"钓鱼网站, 垃圾邮件",域名存在注册信息矛盾、异常DNS配置（A记录指向本地回环地址）、缺乏邮件安全机制及SSL证书，且网站无法访问，综合特征符合恶意域名特征。,2025-08-12 19:53:24
xmmvrf.com,malicious,"恶意软件分发, 网络钓鱼",域名xmmvrf.com被防火墙拦截并标记为恶意软件，且缺乏邮件安全配置和SSL证书，存在高风险行为。,2025-08-12 19:54:28
bot.networkbot.org,malicious,"钓鱼网站,垃圾邮件,C2服务器",域名存在锁定状态异常、子域名解析失效、邮件安全配置缺失、SSL证书缺失及注册信息隐藏等多维度风险，结合命名特征'bot'及无法访问真实内容，高度疑似用于隐蔽的恶意活动。,2025-08-12 19:55:13
scorpiocrypter.cc,malicious,"勒索软件, C2服务器",域名被Palo Alto防火墙标记为恶意软件，且域名名称与加密相关，结合DGA检测结果及IP解析异常，高度疑似为勒索软件或C2服务器。,2025-08-12 19:56:04
desk-app-now.com,malicious,"钓鱼网站, 垃圾邮件, C2服务器",域名注册信息不完整、IP地理位置不一致、邮件安全机制缺失，且被防火墙标记为恶意软件，存在高风险,2025-08-12 19:56:51
rwvyt.com.br,malicious,"钓鱼网站, 垃圾邮件, C2服务器",域名存在Whois信息缺失、DNS解析异常、邮件安全机制缺失及SSL证书时间异常等高风险特征，且无法正常解析，高度疑似用于钓鱼攻击、垃圾邮件分发或作为恶意C2服务器。,2025-08-12 19:58:17
motre.jbvpshosti.com,malicious,"钓鱼网站, C2服务器, 垃圾邮件",域名存在Whois信息缺失、异常锁定状态、缺乏邮件与SSL安全配置、DNS解析异常及新注册无历史记录等多重高风险特征，且网站无法解析可能用于隐蔽恶意活动。,2025-08-12 19:59:26
